0,1,0,0,0,0,0,0,0,1,0,0,4,4,0,7,2,22,40,0,1,3,0,6,2,10,0,0,0,0,0,0,2,1,1,160,12,4,10,0,1,44,9,1,7,2,12,4,0,0,28,0,11,0,10,0,2,16,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,1,0,10,12,0,2,1,0,5,0,2,1,2,0,1,0,0,1,1,1,132,14,0,15,0,0,27,14,0,0,0,1,0,0,0,12,0,4,0,2,0,3,0,1,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,11,4,1,3,2,7,36,2,0,5,1,10,0,16,0,0,0,1,0,0,2,0,2,141,12,0,11,0,0,34,13,0,2,1,7,0,0,2,22,0,5,1,5,0,4,0,2,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,12,11,0,11,1,6,24,0,3,2,0,2,1,8,1,2,0,0,0,0,2,0,0,131,23,0,4,0,0,26,15,0,0,0,4,1,0,1,6,0,4,0,6,0,8,2,4,1,0,0
1,2,0,0,0,0,0,0,0,0,0,0,10,7,0,4,0,7,39,1,0,3,0,9,1,9,2,3,1,0,0,0,1,0,1,136,16,0,7,0,0,17,5,0,1,1,8,0,0,0,28,0,2,1,2,0,7,0,2,0,1,1
1,2,0,0,0,1,0,0,0,0,0,0,9,8,0,1,2,9,27,0,1,1,0,5,0,13,2,1,0,0,1,0,2,0,0,135,17,0,5,0,0,18,10,0,0,0,6,0,0,0,4,0,2,0,5,0,8,1,3,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,5,6,2,2,0,12,37,1,0,3,1,11,1,17,0,2,0,0,1,0,3,0,0,131,19,0,3,0,0,12,16,0,2,0,9,0,0,0,21,0,2,1,4,0,6,2,6,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,11,0,6,27,0,0,1,1,5,0,11,0,0,1,1,0,1,1,0,2,114,16,0,3,0,0,22,9,0,0,0,5,0,0,0,3,0,2,0,5,0,6,3,2,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1,4,6,0,6,1,12,54,0,5,1,0,13,2,9,0,1,2,0,0,1,2,0,1,136,18,9,1,0,7,19,13,0,5,0,6,1,0,1,18,0,6,2,5,0,11,3,4,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,19,0,9,60,1,8,2,0,9,0,28,1,1,0,0,0,3,0,0,0,145,14,0,4,0,0,22,4,0,0,1,1,0,1,0,23,0,8,1,7,0,10,5,7,0,0,1
