5,108
44,147
876,148
228,176
108,177
225,181
91,185
119,247
176,263
170,269
97,272
100,274
174,275
324,279
118,289
107,323
125,325
76,328
106,348
909,370
870,377
106,405
44,413
31,418
184,454
195,460
116,480
122,486
278,509
287,515
76,572
99,596
170,647
172,652
8,682
103,690
44,741
31,747
354,946
451,960
865,966
434,967
97,1066
100,1067
362,1075
107,1083
103,1111
167,1249
149,1540
166,1544
153,1553
883,1566
929,1575
255,1593
95,1638
44,1659
31,1667
27,1668
8,1683
81,1701
228,1703
86,1710
116,1711
119,1714
62,1722
95,1723
85,1746
196,1747
8,1753
92,1754
123,1759
76,1761
104,1778
44,1779
278,1782
287,1787
31,1788
166,1791
91,1811
118,1882
317,1891
547,1937
236,1943
756,1966
821,1992
342,2015
452,2039
434,2047
176,2061
278,2078
287,2083
936,2125
928,2219
236,2259
165,2403
44,2702
31,2712
92,2808
103,2836
76,2854
7,2855
278,2859
287,2864
106,2865
101,2872
116,2877
122,2882
199,2884
44,2890
31,2899
288,2909
106,2914
97,2939
75,2946
317,2951
188,2996
195,3001
8,3157
199,3159
97,3180
98,3186
936,3231
144,3303
107,3375
537,3377
466,3405
317,3412
278,3458
287,3464
116,3602
228,3604
106,3627
91,3688
103,3724
199,3828
929,3859
99,3872
76,3897
103,3910
801,4016
107,4213
8,4319
104,4474
119,4565
71,4659
104,4667
123,4749
756,4758
44,4769
31,4774
118,4791
218,4817
76,4853
95,4880
407,4895
225,5007
171,5036
199,5101
184,5201
84,5245
91,5271
101,5276
44,5277
31,5282
31,5285
331,5287
167,5299
79,5300
228,5324
8,5345
354,5710
880,5798
870,5805
15,5921
317,5960
171,5972
936,6069
746,6177
37,6338
44,6389
31,6397
116,6411
122,6420
929,6476
103,6578
228,6598
107,6599
792,6659
44,6740
105,6944
79,7274
106,7279
199,7291
451,7293
434,7299
178,7327
695,7331
106,7351
167,7360
110,7381
163,7398
166,7403
105,7408
2,7412
103,7447
44,7489
31,7494
119,7506
236,7533
756,7557
403,7722
107,7861
134,8068
128,8185
103,8212
106,8219
44,8257
10,8271
95,8293
116,8329
122,8336
91,8341
95,8349
107,8350
105,8368
466,8457
278,8513
287,8518
317,8547
107,8680
305,8779
354,8797
537,8821
116,8851
122,8857
44,8876
31,8883
248,8923
199,8991
929,9041
228,9087
539,9178
65,9231
756,9307
97,9544
98,9550
451,9620
936,9688
43,9705
30,9712
228,9932
97,10003
98,10009
278,10028
756,10125
44,10174
31,10181
228,10185
75,10201
178,10220
447,10318
178,10353
403,10409
218,10461
178,10598
223,10611
404,10684
75,10771
354,10931
225,10994
547,11010
644,11452
466,11495
838,11577
107,11697
624,11875
107,11889
251,11913
936,12048
79,12193
331,12245
44,12263
276,12267
31,12270
199,12297
111,12345
106,12368
466,12481
167,12803
0,12841
570,13225
44,13265
31,13272
107,13314
91,13357
95,13365
144,13416
92,13449
199,13458
317,13548
107,13564
199,13607
103,13653
107,13677
929,13786
106,13796
44,13864
31,13870
107,13989
278,14031
756,14149
792,14235
103,14297
724,14311
354,14324
797,14354
756,14539
103,14619
128,14636
228,14646
44,14687
31,14692
324,14763
305,14926
547,14957
324,14988
936,15040
107,15264
929,15309
305,15364
171,15463
107,15467
398,15485
356,15490
437,15578
278,15744
317,15769
451,16047
434,16053
801,16188
936,16289
199,16343
228,16465
248,16506
929,16537
148,16579
44,16717
31,16722
821,17024
228,17057
747,17248
312,17295
199,17326
317,17431
305,17475
288,17479
624,17550
44,17634
31,17641
162,17763
155,17769
278,17805
287,17811
111,17855
747,17869
936,17881
107,17926
144,18097
354,18102
119,18195
123,18202
44,18355
466,18513
724,18811
167,19085
71,19151
44,19189
176,19194
31,19196
170,19200
174,19203
108,19252
838,19269
167,19287
176,19301
170,19307
174,19311
317,19397
746,19495
518,19532
44,19538
119,19540
31,19548
251,19560
403,19594
929,19626
201,19637
202,19646
202,19648
206,19653
756,19813
306,20404
361,20406
451,20433
434,20439
65,20440
936,20472
228,20504
76,20609
106,20674
236,20814
183,20831
44,20883
116,20889
31,20891
122,20897
278,20972
287,20977
95,21071
79,21087
76,21127
44,21159
31,21166
31,21168
199,21229
103,21260
466,21277
178,21288
101,21338
624,21345
876,21599
792,21664
870,21722
936,21823
178,21869
199,21988
178,22067
199,22192
79,22259
199,22336
756,22431
141,22464
547,22481
929,22497
317,22569
167,22634
756,22716
251,23269
756,23409
228,23680
278,23691
287,23696
437,23786
160,23799
44,23885
31,23892
518,23908
876,23930
876,24023
79,24092
171,24203
936,24278
306,24535
466,24542
447,24591
403,24659
746,24902
756,24930
141,24953
306,25115
715,25252
141,25265
317,25357
167,25375
382,25454
929,25547
317,25790
199,25956
105,26087
228,26328
199,26424
852,26434
79,26468
251,26528
838,26820
539,26822
324,26882
724,27154
44,27246
199,27246
44,27252
31,27253
228,27577
153,27606
107,27615
929,27853
825,27948
199,28243
183,28290
466,28338
103,28435
288,28494
44,28503
31,28509
624,28648
354,28649
251,28733
94,28822
537,28879
167,29056
248,29078
403,29265
825,29323
936,29360
756,29416
228,29481
107,29625
825,29778
451,29820
434,29828
199,29835
44,29887
31,29893
105,29953
929,30050
466,30113
104,30129
44,30138
821,30138
31,30152
199,30186
